0	0	0	0	0	0	
0	20	22	21	22	21	
0	20	28	19	23	25	
0	13	15	19	2	10	
0	20	20	25	17	20	
0	20	20	23	24	21	
0	20	21	23	27	20	
0	20	15	17	20	28	
0	30	35	28	28	24	
0	13	15	23	9	21	
0	30	31	30	29	32	
0	20	20	4	20	14	
0	20	20	21	23	35	
0	20	17	24	23	26	
0	20	17	26	22	31	
0	20	16	16	18	19	
0	20	24	19	21	17	
0	13	15	21	23	7	
0	30	27	36	24	31	
0	13	10	9	13	13	
0	30	36	35	28	36	
0	13	11	10	4	15	
0	30	38	32	29	32	
0	20	24	18	17	27	
0	30	38	28	32	35	
0	20	25	21	16	13	
0	20	24	19	15	13	
0	13	12	15	12	9	
0	30	35	32	32	29	
0	13	11	25	1	16	
0	20	21	11	22	23	
0	13	15	10	20	17	
0	20	17	10	18	23	
0	13	12	8	6	17	
0	30	38	24	30	30	
