0	0	0	0	0	0	
0	13	15	14	15	14	
0	30	38	29	33	35	
0	20	22	26	9	17	
0	20	20	25	17	20	
0	13	13	16	17	14	
0	20	21	23	27	20	
0	13	8	10	13	21	
0	20	25	18	18	14	
0	20	22	30	16	28	
0	30	31	30	29	32	
0	13	13	1	13	7	
0	20	20	21	23	35	
0	13	10	17	16	19	
0	30	27	36	32	41	
0	13	9	9	11	12	
0	20	24	19	21	17	
0	20	22	28	30	14	
0	30	27	36	24	31	
0	13	10	9	13	13	
0	30	36	35	28	36	
0	20	18	17	11	22	
0	30	38	32	29	32	
0	13	17	11	10	20	
0	20	28	18	22	25	
0	13	18	14	9	6	
0	20	24	19	15	13	
0	20	19	22	19	16	
0	20	25	22	22	19	
0	20	18	32	6	23	
