0	0	0	0	0	0	
0	20	22	21	22	21	
0	20	28	19	23	25	
0	13	15	19	2	10	
0	20	20	25	17	20	
0	13	13	16	17	14	
0	20	21	23	27	20	
0	20	15	17	20	28	
0	20	25	18	18	14	
0	20	22	30	16	28	
0	30	31	30	29	32	
0	20	20	4	20	14	
0	30	30	31	33	45	
0	13	10	17	16	19	
0	20	17	26	22	31	
0	13	9	9	11	12	
0	20	24	19	21	17	
0	20	22	28	30	14	
0	20	17	26	14	21	
0	20	17	16	20	20	
0	20	26	25	18	26	
0	13	11	10	4	15	
0	30	38	32	29	32	
0	20	24	18	17	27	
0	20	28	18	22	25	
0	20	25	21	16	13	
0	20	24	19	15	13	
0	13	12	15	12	9	
0	20	25	22	22	19	
0	20	18	32	6	23	
0	30	31	21	32	33	
0	20	22	17	27	24	
0	20	17	10	18	23	
0	13	12	8	6	17	
0	30	38	24	30	30	
0	20	19	18	20	13	
0	30	19	32	34	31	
0	13	16	16	10	16	
0	20	25	22	9	13	
0	20	16	16	15	19	
0	30	28	31	42	31	
0	13	15	12	22	9	
0	30	33	29	33	25	
0	13	13	23	11	11	
0	30	23	33	35	32	
0	20	28	11	18	17	
0	30	29	27	25	33	
0	13	11	13	11	8	
0	30	37	37	35	34	
0	20	23	23	16	20	
