0	0	0	0	0	0	0	0	0	
0	13	15	14	15	14	21	12	16	
0	20	25	22	26	9	17	20	25	
0	13	10	13	13	16	17	14	14	
0	20	23	27	20	15	17	20	28	
0	13	18	11	11	7	15	23	9	
0	30	38	31	30	29	32	30	14	
0	20	20	14	20	21	23	35	17	
0	30	34	33	36	27	36	32	41	
0	20	16	16	18	19	24	19	21	
0	30	27	32	38	40	24	27	36	
0	20	14	21	17	16	20	20	26	
0	20	25	18	26	18	17	11	22	
0	13	21	15	12	15	17	11	10	
0	20	27	28	18	22	25	25	21	
0	13	9	6	17	12	8	6	12	
0	30	32	29	26	35	32	32	29	
0	13	11	25	1	16	14	4	15	
0	30	33	32	27	37	34	27	20	
0	13	11	16	12	8	6	17	21	
