0	0	0	0	0	0	0	0	0	
0	20	22	21	22	21	28	19	23	
0	30	35	32	36	19	27	30	35	
0	20	17	20	20	23	24	21	21	
0	30	33	37	30	25	27	30	38	
0	20	25	18	18	14	22	30	16	
0	30	38	31	30	29	32	30	14	
0	13	13	7	13	14	16	28	10	
0	20	24	23	26	17	26	22	31	
0	13	9	9	11	12	17	12	14	
0	20	17	22	28	30	14	17	26	
0	20	14	21	17	16	20	20	26	
0	20	25	18	26	18	17	11	22	
0	20	28	22	19	22	24	18	17	
0	20	27	28	18	22	25	25	21	
0	13	9	6	17	12	8	6	12	
0	30	32	29	26	35	32	32	29	
0	20	18	32	6	23	21	11	22	
0	30	33	32	27	37	34	27	20	
0	20	18	23	19	15	13	24	28	
0	20	14	20	20	19	18	20	13	
0	13	2	15	17	14	16	16	10	
0	30	33	35	32	19	23	26	26	
0	13	8	12	11	14	25	14	15	
0	30	29	39	26	33	29	33	25	
